id,suburb,state_id
1,ACTON,69
2,AINSLIE,69
3,AMAROO,69
4,ARANDA,69
5,AUSTRALIAN NATIONAL UNIVERSITY,69
6,BANKS,69
7,BARTON,69
8,BEARD,69
9,BELCONNEN,69
10,BELCONNEN DC,69
11,BLACK MOUNTAIN,69
12,BONNER,69
13,BONYTHON,69
14,BRADDON,69
15,BRUCE,69
16,CALWELL,69
17,CAMPBELL,69
18,CANBERRA,69
19,CANBERRA BC,69
20,CANBERRA INTERNATIONAL AIRPORT,69
21,CANBERRA MC,69
22,CAPITAL HILL,69
23,CASEY,69
24,CAUSEWAY,69
25,CHAPMAN,69
26,CHARNWOOD,69
27,CHIFLEY,69
28,CHISHOLM,69
29,CITY,69
30,CIVIC SQUARE,69
31,CONDER,69
32,COOK,69
33,CRACE,69
34,CURTIN,69
35,DEAKIN,69
36,DEAKIN WEST,69
37,DICKSON,69
38,DOWNER,69
39,DUFFY,69
40,DUNLOP,69
41,DUNTROON,69
42,ERINDALE CENTRE,69
43,EVATT,69
44,FADDEN,69
45,FARRER,69
46,FISHER,69
47,FLOREY,69
48,FLYNN,69
49,FORDE,69
50,FORREST,69
51,FRANKLIN,69
52,FRASER,69
53,FYSHWICK,69
54,GARRAN,69
55,GILMORE,69
56,GINNINDERRA VILLAGE,69
57,GIRALANG,69
58,GORDON,69
59,GOWRIE,69
60,GREENWAY,69
61,GRIFFITH,69
62,GUNGAHLIN,69
63,HACKETT,69
64,HALL,69
65,HARMAN,69
66,HARRISON,69
67,HAWKER,69
68,HIGGINS,69
69,HMAS CRESWELL,69
70,HMAS HARMAN,69
71,HOLDER,69
72,HOLT,69
73,HUGHES,69
74,HUME,69
75,ISAACS,69
76,ISABELLA PLAINS,69
77,JAMISON CENTRE,69
78,JERVIS BAY,69
79,KALEEN,69
80,KAMBAH,69
81,KAMBAH VILLAGE,69
82,KINGSTON,69
83,KINLYSIDE,69
84,KIPPAX,69
85,KOWEN FOREST,69
86,LATHAM,69
87,LAWSON,69
88,LYNEHAM,69
89,LYONS,69
90,MACARTHUR,69
