suburb,state_id,postcode,postcode,suburb,
AARONS PASS,70,,2850,AARONS PASS,GOOD
ABBA RIVER,76,,6280,ABBA RIVER,GOOD
ABBEY,76,,6280,ABBEY,GOOD
ABBEYARD,75,,3737,ABBEYARD,GOOD
ABBEYWOOD,72,,4613,ABBEYWOOD,GOOD
ABBOTSBURY,70,,2176,ABBOTSBURY,GOOD
ABBOTSFORD,70,,2046,ABBOTSFORD,GOOD
ABBOTSHAM,74,,3067,ABBOTSFORD,
ABECKETT STREET,75,,4670,ABBOTSFORD,
ABELS BAY,74,,7315,ABBOTSHAM,
ABERCORN,72,,8006,ABECKETT STREET,
ABERCROMBIE,70,,7112,ABELS BAY,
ABERCROMBIE RIVER,70,,4627,ABERCORN,
ABERDARE,70,,2795,ABERCROMBIE RIVER,
ABERDEEN,70,,2325,ABERDARE,
ABERFELDIE,75,,2336,ABERDEEN,
ABERFELDY,75,,2359,ABERDEEN,
ABERFOYLE,70,,7310,ABERDEEN,
ABERFOYLE PARK,73,,3040,ABERFELDIE,
ABERGLASSLYN,70,,3825,ABERFELDY,
ABERGOWRIE,72,,2350,ABERFOYLE,
ABERMAIN,70,,5159,ABERFOYLE PARK,
ABERNETHY,70,,2320,ABERGLASSLYN,
ABINGDON DOWNS,72,,4850,ABERGOWRIE,
ABINGTON,70,,2326,ABERMAIN,
ACACIA GARDENS,70,,2325,ABERNETHY,
ACACIA HILLS,71,,4871,ABINGDON DOWNS,
ACACIA RIDGE,72,,2350,ABINGTON,
ACACIA RIDGE BC,72,,4660,ABINGTON,
ACACIA RIDGE DC,72,,2476,ACACIA CREEK,
ACHERON,75,,2763,ACACIA GARDENS,
ACLAND,72,,822,ACACIA HILLS,
ACTON,69,,7306,ACACIA HILLS,
ACTON PARK,74,,2476,ACACIA PLATEAU,
ADA,75,,4110,ACACIA RIDGE,
ADAMINABY,70,,3714,ACHERON,
ADAMS ESTATE,75,,4401,ACLAND,
ADAMSTOWN,70,,2601,ACTON,
ADAMSTOWN HEIGHTS,70,,7320,ACTON,
ADAMSVALE,76,,6280,ACTON PARK,
ADARE,72,,7170,ACTON PARK,
ADAVALE,72,,3833,ADA,
ADDINGTON,75,,2629,ADAMINABY,
ADELAIDE,73,,3984,ADAMS ESTATE,
ADELAIDE AIRPORT,73,,2289,ADAMSTOWN,
ADELAIDE BC,73,,2289,ADAMSTOWN HEIGHTS,
ADELAIDE LEAD,75,,6375,ADAMSVALE,
ADELAIDE MAIL CENTRE,73,,4343,ADARE,
ADELAIDE PARK,72,,4474,ADAVALE,
ADELAIDE RIVER,71,,3352,ADDINGTON,
ADELAIDE UNIVERSITY,73,,5000,ADELAIDE,
ADELONG,70,,5001,ADELAIDE,
ADJUNGBILLY,70,,5800,ADELAIDE,
ADVANCETOWN,72,,5810,ADELAIDE,
ADVENTURE BAY,74,,5839,ADELAIDE,
AEROGLEN,72,,5950,ADELAIDE AIRPORT,
AFTERLEE,70,,3465,ADELAIDE LEAD,
AGERY,73,,4703,ADELAIDE PARK,
AGNES,75,,846,ADELAIDE RIVER,
AGNES BANKS,70,,5005,ADELAIDE UNIVERSITY,
AGNES WATER,72,,2729,ADELONG,
AHERRENGE,71,,2727,ADJUNGBILLY,
AINSLIE,69,,4211,ADVANCETOWN,
AIRDMILLAN,72,,7150,ADVENTURE BAY,
AIRDS,70,,4870,AEROGLEN,
AIRE VALLEY,75,,2474,AFTERLEE,
AIREYS INLET,75,,5558,AGERY,
AIRLIE BEACH,72,,3962,AGNES,
AIRLY,75,,2753,AGNES BANKS,
AIRPORT WEST,75,,4677,AGNES WATER,
AIRVILLE,72,,3393,AILSA,
AITKENVALE,72,,2602,AINSLIE,
AITKENVALE BC,72,,4807,AIRDMILLAN,
AJANA,76,,2560,AIRDS,
AKAROA,74,,3237,AIRE VALLEY,
AKOLELE,70,,3231,AIREYS INLET,
ALABAMA HILL,72,,4802,AIRLIE BEACH,
ALAWA,71,,3851,AIRLY,
ALAWOONA,73,,3042,AIRPORT WEST,
ALBACUTYA,75,,4807,AIRVILLE,
ALBANVALE,75,,4814,AITKENVALE,
ALBANY,76,,6532,AJANA,
ALBANY CREEK,72,,7216,AKAROA,
ALBANY DC,76,,2546,AKOLELE,
ALBANY PO,76,,4820,ALABAMA HILL,
ALBERT,70,,810,ALAWA,
ALBERT PARK,73,,5311,ALAWOONA,
ALBERTA,72,,3424,ALBACUTYA,
ALBERTON,72,,3021,ALBANVALE,
ALBERTON WEST,75,,6330,ALBANY,
ALBION,72,,6332,ALBANY,
ALBION BC,72,,4035,ALBANY CREEK,
ALBION DC,72,,2873,ALBERT,
ALBION HEIGHTS,74,,3206,ALBERT PARK,
ALBION PARK,70,,5014,ALBERT PARK,
ALBION PARK RAIL,70,,4702,ALBERTA,
ALBURY,70,,3971,ALBERTON,
ALBURY MSC,70,,4207,ALBERTON,
ALCOMIE,74,,5014,ALBERTON,
ALDAVILLA,70,,7263,ALBERTON,
ALDERLEY,72,,3971,ALBERTON WEST,
ALDERSHOT,72,,3020,ALBION,
ALDERSYDE,76,,4010,ALBION,
ALDGATE,73,,4822,ALBION,
ALDINGA,73,,7050,ALBION HEIGHTS,
ALDINGA BEACH,73,,2527,ALBION PARK,
ALDOGA,72,,2527,ALBION PARK RAIL,
ALECTOWN,70,,2640,ALBURY,
ALEXANDER HEIGHTS,76,,7330,ALCOMIE,
ALEXANDRA,72,,2440,ALDAVILLA,
ALEXANDRA BRIDGE,76,,4051,ALDERLEY,
ALEXANDRA HEADLAND,72,,4650,ALDERSHOT,
ALEXANDRA HILLS,72,,6306,ALDERSYDE,
ALEXANDRIA,70,,5154,ALDGATE,
ALEXANDRIA MC,70,,5173,ALDINGA,
ALFORD,73,,5173,ALDINGA BEACH,
ALFORDS POINT,70,,4694,ALDOGA,
ALFRED COVE,76,,2870,ALECTOWN,
ALFREDTON,75,,6064,ALEXANDER HEIGHTS,
ALFREDTOWN,70,,3714,ALEXANDRA,
ALGESTER,72,,4740,ALEXANDRA,
ALI CURUNG,71,,6288,ALEXANDRA BRIDGE,
ALICE,70,,4572,ALEXANDRA HEADLAND,
ALICE CREEK,72,,4161,ALEXANDRA HILLS,
ALICE RIVER,72,,1435,ALEXANDRIA,
ALICE SPRINGS,71,,2015,ALEXANDRIA,
ALISON,70,,4825,ALEXANDRIA,
ALKIMOS,76,,5555,ALFORD,
ALLAMBEE,75,,2234,ALFORDS POINT,
ALLAMBEE RESERVE,75,,6154,ALFRED COVE,
ALLAMBEE SOUTH,75,,3350,ALFREDTON,
ALLAMBIE HEIGHTS,70,,2650,ALFREDTOWN,
ALLAN,72,,4115,ALGESTER,
ALLANDALE,70,,872,ALI CURUNG,
ALLANOOKA,76,,2460,ALICE,
ALLANS FLAT,75,,4610,ALICE CREEK,
ALLANSFORD,75,,4817,ALICE RIVER,
ALLANSON,76,,870,ALICE SPRINGS,
ALLAWAH,70,,871,ALICE SPRINGS,
ALLEENA,70,,872,ALICE SPRINGS,
ALLENBY GARDENS,73,,2259,ALISON,
ALLENDALE,75,,2420,ALISON,
ALLENDALE EAST,73,,6038,ALKIMOS,
ALLENDALE NORTH,73,,3823,ALLAMBEE,
ALLENS RIVULET,74,,3871,ALLAMBEE RESERVE,
ALLENSTOWN,72,,3871,ALLAMBEE SOUTH,
ALLENVIEW,72,,2100,ALLAMBIE HEIGHTS,
ALLESTREE,75,,4370,ALLAN,
ALLGOMERA,70,,2320,ALLANDALE,
ALLIGATOR CREEK,72,,4310,ALLANDALE,
ALLINGHAM,72,,6525,ALLANOOKA,
ALLORA,72,,3691,ALLANS FLAT,
ALLOWAY,72,,3277,ALLANSFORD,
ALLWORTH,70,,6225,ALLANSON,
ALLYNBROOK,70,,2218,ALLAWAH,
ALMA,73,,2671,ALLEENA,
ALMA PARK,70,,5009,ALLENBY GARDENS,
ALMADEN,72,,3364,ALLENDALE,
ALMONDS,75,,5291,ALLENDALE EAST,
ALMURTA,75,,5373,ALLENDALE NORTH,
ALONNAH,74,,7150,ALLENS RIVULET,
ALOOMBA,72,,4700,ALLENSTOWN,
ALPHA,72,,4285,ALLENVIEW,
ALPHINGTON,75,,3305,ALLESTREE,
ALPINE,70,,2441,ALLGOMERA,
ALPURRURULAM,71,,4740,ALLIGATOR CREEK,
ALSACE,72,,4816,ALLIGATOR CREEK,
ALSTONVALE,70,,4850,ALLINGHAM,
ALSTONVILLE,70,,4362,ALLORA,
ALTON DOWNS,72,,4670,ALLOWAY,
ALTONA,73,,2425,ALLWORTH,
ALTONA EAST,75,,2311,ALLYNBROOK,
ALTONA GATE,75,,3465,ALMA,
ALTONA MEADOWS,75,,5401,ALMA,
ALTONA NORTH,75,,6535,ALMA,
ALUMY CREEK,70,,2659,ALMA PARK,
ALVA,72,,4871,ALMADEN,
ALVIE,75,,3727,ALMONDS,
ALYANGULA,71,,3979,ALMURTA,
AMAMOOR,72,,7150,ALONNAH,
AMAMOOR CREEK,72,,4871,ALOOMBA,
AMAROO,69,,4724,ALPHA,
AMATA,71,,3078,ALPHINGTON,
AMBANIA,76,,2575,ALPINE,
AMBARVALE,70,,4825,ALPURRURULAM,
AMBER,72,,4702,ALSACE,
AMBERGATE,76,,2477,ALSTONVALE,
AMBERLEY,72,,2477,ALSTONVILLE,
AMBLESIDE,74,,4702,ALTON DOWNS,
AMBROSE,72,,3018,ALTONA,
AMBY,72,,5351,ALTONA,
AMELUP,76,,3025,ALTONA EAST,
AMERICAN BEACH,73,,3025,ALTONA GATE,
AMERICAN RIVER,73,,3028,ALTONA MEADOWS,
AMHERST,75,,3025,ALTONA NORTH,
AMIENS,72,,2460,ALUMY CREEK,
AMITY,72,,4807,ALVA,
AMITY POINT,72,,3249,ALVIE,
AMOONGUNA,71,,4570,AMAMOOR,
