suburb,state_id,postcode
AARONS PASS,70,2850
ABBA RIVER,76,6280
ABBEY,76,6280
ABBEYARD,75,3737
ABBEYWOOD,72,4613
ABBOTSBURY,70,2176
ABBOTSFORD,70,2046
ABBOTSFORD,75,3067
ABBOTSFORD,72,4670
ABBOTSHAM,74,7315
ABECKETT STREET,75,8006
ABELS BAY,74,7112
ABERCORN,72,4627
ABERCROMBIE RIVER,70,2795
ABERDARE,70,2325
ABERDEEN,70,2336
ABERDEEN,70,2359
ABERDEEN,74,7310
ABERFELDIE,75,3040
ABERFELDY,75,3825
ABERFOYLE,70,2350
ABERFOYLE PARK,73,5159
ABERGLASSLYN,70,2320
ABERGOWRIE,72,4850
ABERMAIN,70,2326
ABERNETHY,70,2325
ABINGDON DOWNS,72,4871
ABINGTON,70,2350
ABINGTON,72,4660
ACACIA CREEK,70,2476
ACACIA GARDENS,70,2763
ACACIA HILLS,71,822
ACACIA HILLS,74,7306
ACACIA PLATEAU,70,2476
ACACIA RIDGE,72,4110
ACHERON,75,3714
ACLAND,72,4401
ACTON,69,2601
ACTON,74,7320
ACTON PARK,76,6280
ACTON PARK,74,7170
ADA,75,3833
ADAMINABY,70,2629
ADAMS ESTATE,75,3984
ADAMSTOWN,70,2289
ADAMSTOWN HEIGHTS,70,2289
ADAMSVALE,76,6375
ADARE,72,4343
ADAVALE,72,4474
ADDINGTON,75,3352
ADELAIDE,73,5000
ADELAIDE,73,5001
ADELAIDE,73,5800
ADELAIDE,73,5810
ADELAIDE,73,5839
ADELAIDE AIRPORT,73,5950
ADELAIDE LEAD,75,3465
ADELAIDE PARK,72,4703
ADELAIDE RIVER,71,846
ADELAIDE UNIVERSITY,73,5005
ADELONG,70,2729
ADJUNGBILLY,70,2727
ADVANCETOWN,72,4211
ADVENTURE BAY,74,7150
AEROGLEN,72,4870
AFTERLEE,70,2474
AGERY,73,5558
AGNES,75,3962
AGNES BANKS,70,2753
AGNES WATER,72,4677
AILSA,75,3393
AINSLIE,69,2602
AIRDMILLAN,72,4807
AIRDS,70,2560
AIRE VALLEY,75,3237
AIREYS INLET,75,3231
AIRLIE BEACH,72,4802
AIRLY,75,3851
AIRPORT WEST,75,3042
AIRVILLE,72,4807
AITKENVALE,72,4814
AJANA,76,6532
AKAROA,74,7216
AKOLELE,70,2546
ALABAMA HILL,72,4820
ALAWA,71,810
ALAWOONA,73,5311
ALBACUTYA,75,3424
ALBANVALE,75,3021
ALBANY,76,6330
ALBANY,76,6332
ALBANY CREEK,72,4035
ALBERT,70,2873
ALBERT PARK,75,3206
ALBERT PARK,73,5014
ALBERTA,72,4702
ALBERTON,75,3971
ALBERTON,72,4207
ALBERTON,73,5014
ALBERTON,74,7263
ALBERTON WEST,75,3971
ALBION,75,3020
ALBION,72,4010
ALBION,72,4822
ALBION HEIGHTS,74,7050
ALBION PARK,70,2527
ALBION PARK RAIL,70,2527
ALBURY,70,2640
ALCOMIE,74,7330
ALDAVILLA,70,2440
ALDERLEY,72,4051
ALDERSHOT,72,4650
ALDERSYDE,76,6306
ALDGATE,73,5154
ALDINGA,73,5173
ALDINGA BEACH,73,5173
ALDOGA,72,4694
ALECTOWN,70,2870
ALEXANDER HEIGHTS,76,6064
ALEXANDRA,75,3714
ALEXANDRA,72,4740
ALEXANDRA BRIDGE,76,6288
ALEXANDRA HEADLAND,72,4572
ALEXANDRA HILLS,72,4161
ALEXANDRIA,70,1435
ALEXANDRIA,70,2015
ALEXANDRIA,72,4825
ALFORD,73,5555
ALFORDS POINT,70,2234
